"mobile","browser","trial_type","trial_index","time_elapsed","internal_node_id","success","rt","width","height","stimulus","response","box_width","box_height","timeout","failed_images","failed_audio","failed_video","trial_name","button_order","categories","mouse_tracking_data","mouse_tracking_targets","too_fast","too_slow","fullscreen"
"false","chrome","browser-check","0","1","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","1","1818","0.0-1.0","true","807","","","","","","","","","","","","","","","","","",""
"","","browser-check","2","1819","0.0-2.0","","","1280","720","","","","","","","","","","","","","","","",""
"","","html-button-response","3","2645","0.0-3.0","","824","","","You will be shown ???. Please ???.","0","800","600","","","","","","","","","","","",""
"","","preload","4","2668","0.0-4.0","true","","","","","","","","false","[]","[]","[]","","","","","","","",""
"","","html-button-response","5","3339","0.0-5.0-0.0","","670","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","6","4628","0.0-5.0-1.0","","1287","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/white/w2.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":645,""y"":564,""t"":586,""event"":""mousemove""},{""x"":645,""y"":558,""t"":592,""event"":""mousemove""},{""x"":645,""y"":548,""t"":608,""event"":""mousemove""},{""x"":645,""y"":535,""t"":624,""event"":""mousemove""},{""x"":648,""y"":522,""t"":641,""event"":""mousemove""},{""x"":656,""y"":502,""t"":658,""event"":""mousemove""},{""x"":662,""y"":488,""t"":674,""event"":""mousemove""},{""x"":674,""y"":466,""t"":691,""event"":""mousemove""},{""x"":684,""y"":448,""t"":708,""event"":""mousemove""},{""x"":700,""y"":420,""t"":724,""event"":""mousemove""},{""x"":711,""y"":403,""t"":741,""event"":""mousemove""},{""x"":721,""y"":386,""t"":758,""event"":""mousemove""},{""x"":732,""y"":365,""t"":774,""event"":""mousemove""},{""x"":739,""y"":354,""t"":791,""event"":""mousemove""},{""x"":749,""y"":342,""t"":808,""event"":""mousemove""},{""x"":756,""y"":334,""t"":824,""event"":""mousemove""},{""x"":769,""y"":322,""t"":842,""event"":""mousemove""},{""x"":778,""y"":311,""t"":858,""event"":""mousemove""},{""x"":788,""y"":298,""t"":874,""event"":""mousemove""},{""x"":800,""y"":281,""t"":891,""event"":""mousemove""},{""x"":806,""y"":272,""t"":908,""event"":""mousemove""},{""x"":810,""y"":266,""t"":924,""event"":""mousemove""},{""x"":816,""y"":257,""t"":941,""event"":""mousemove""},{""x"":821,""y"":250,""t"":958,""event"":""mousemove""},{""x"":829,""y"":240,""t"":974,""event"":""mousemove""},{""x"":836,""y"":231,""t"":991,""event"":""mousemove""},{""x"":840,""y"":226,""t"":1008,""event"":""mousemove""},{""x"":846,""y"":218,""t"":1024,""event"":""mousemove""},{""x"":850,""y"":213,""t"":1041,""event"":""mousemove""},{""x"":856,""y"":205,""t"":1058,""event"":""mousemove""},{""x"":860,""y"":201,""t"":1075,""event"":""mousemove""},{""x"":862,""y"":198,""t"":1091,""event"":""mousemove""},{""x"":866,""y"":190,""t"":1108,""event"":""mousemove""},{""x"":868,""y"":186,""t"":1125,""event"":""mousemove""},{""x"":871,""y"":176,""t"":1141,""event"":""mousemove""},{""x"":874,""y"":171,""t"":1158,""event"":""mousemove""},{""x"":875,""y"":168,""t"":1174,""event"":""mousemove""},{""x"":876,""y"":167,""t"":1191,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false","true"
"","","html-button-response","7","5231","0.0-5.0-0.1","","602","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","8","6388","0.0-5.0-1.1","","1155","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/white/w5.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":648,""y"":541,""t"":579,""event"":""mousemove""},{""x"":656,""y"":528,""t"":584,""event"":""mousemove""},{""x"":663,""y"":515,""t"":599,""event"":""mousemove""},{""x"":693,""y"":464,""t"":615,""event"":""mousemove""},{""x"":709,""y"":438,""t"":632,""event"":""mousemove""},{""x"":730,""y"":404,""t"":649,""event"":""mousemove""},{""x"":742,""y"":386,""t"":666,""event"":""mousemove""},{""x"":760,""y"":357,""t"":682,""event"":""mousemove""},{""x"":770,""y"":338,""t"":699,""event"":""mousemove""},{""x"":778,""y"":323,""t"":715,""event"":""mousemove""},{""x"":789,""y"":302,""t"":732,""event"":""mousemove""},{""x"":798,""y"":288,""t"":749,""event"":""mousemove""},{""x"":806,""y"":272,""t"":766,""event"":""mousemove""},{""x"":810,""y"":264,""t"":782,""event"":""mousemove""},{""x"":814,""y"":256,""t"":799,""event"":""mousemove""},{""x"":818,""y"":248,""t"":815,""event"":""mousemove""},{""x"":822,""y"":242,""t"":832,""event"":""mousemove""},{""x"":828,""y"":232,""t"":849,""event"":""mousemove""},{""x"":834,""y"":225,""t"":866,""event"":""mousemove""},{""x"":838,""y"":220,""t"":882,""event"":""mousemove""},{""x"":844,""y"":212,""t"":899,""event"":""mousemove""},{""x"":848,""y"":206,""t"":915,""event"":""mousemove""},{""x"":854,""y"":198,""t"":932,""event"":""mousemove""},{""x"":856,""y"":194,""t"":949,""event"":""mousemove""},{""x"":859,""y"":188,""t"":966,""event"":""mousemove""},{""x"":864,""y"":180,""t"":982,""event"":""mousemove""},{""x"":867,""y"":174,""t"":999,""event"":""mousemove""},{""x"":871,""y"":167,""t"":1015,""event"":""mousemove""},{""x"":872,""y"":165,""t"":1032,""event"":""mousemove""},{""x"":872,""y"":164,""t"":1049,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false","true"
"","","html-button-response","9","7055","0.0-5.0-0.2","","666","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","10","8178","0.0-5.0-1.2","","1122","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/black/b6.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","0","","","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":630,""y"":543,""t"":435,""event"":""mousemove""},{""x"":624,""y"":534,""t"":442,""event"":""mousemove""},{""x"":613,""y"":518,""t"":459,""event"":""mousemove""},{""x"":588,""y"":484,""t"":476,""event"":""mousemove""},{""x"":572,""y"":462,""t"":492,""event"":""mousemove""},{""x"":558,""y"":442,""t"":509,""event"":""mousemove""},{""x"":538,""y"":413,""t"":526,""event"":""mousemove""},{""x"":525,""y"":395,""t"":543,""event"":""mousemove""},{""x"":509,""y"":374,""t"":559,""event"":""mousemove""},{""x"":500,""y"":358,""t"":576,""event"":""mousemove""},{""x"":492,""y"":344,""t"":592,""event"":""mousemove""},{""x"":479,""y"":319,""t"":609,""event"":""mousemove""},{""x"":472,""y"":305,""t"":626,""event"":""mousemove""},{""x"":462,""y"":287,""t"":642,""event"":""mousemove""},{""x"":455,""y"":278,""t"":659,""event"":""mousemove""},{""x"":450,""y"":270,""t"":676,""event"":""mousemove""},{""x"":440,""y"":256,""t"":693,""event"":""mousemove""},{""x"":434,""y"":248,""t"":709,""event"":""mousemove""},{""x"":428,""y"":240,""t"":726,""event"":""mousemove""},{""x"":426,""y"":238,""t"":743,""event"":""mousemove""},{""x"":422,""y"":235,""t"":759,""event"":""mousemove""},{""x"":416,""y"":231,""t"":776,""event"":""mousemove""},{""x"":412,""y"":227,""t"":792,""event"":""mousemove""},{""x"":407,""y"":221,""t"":809,""event"":""mousemove""},{""x"":404,""y"":217,""t"":826,""event"":""mousemove""},{""x"":400,""y"":212,""t"":842,""event"":""mousemove""},{""x"":396,""y"":206,""t"":859,""event"":""mousemove""},{""x"":393,""y"":200,""t"":876,""event"":""mousemove""},{""x"":389,""y"":193,""t"":892,""event"":""mousemove""},{""x"":388,""y"":190,""t"":910,""event"":""mousemove""},{""x"":386,""y"":188,""t"":927,""event"":""mousemove""},{""x"":382,""y"":184,""t"":943,""event"":""mousemove""},{""x"":380,""y"":181,""t"":960,""event"":""mousemove""},{""x"":376,""y"":175,""t"":976,""event"":""mousemove""},{""x"":373,""y"":170,""t"":993,""event"":""mousemove""},{""x"":372,""y"":168,""t"":1011,""event"":""mousemove""},{""x"":371,""y"":168,""t"":1024,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false","true"
"","","html-button-response","11","8928","0.0-6.0","","748","","","You've finished the last task. Click the button to end the study.","0","","","","","","","","","","","","","",""
