"mobile","trial_type","trial_index","time_elapsed","internal_node_id","success","rt","width","height","stimulus","response","timeout","failed_images","failed_audio","failed_video","trial_name","button_order","categories","mouse_tracking_data","mouse_tracking_targets","too_fast","too_slow"
"false","browser-check","0","4","0.0-0.0","","","","","","","","","","","","","","","","",""
"","fullscreen","1","7425","0.0-1.0","true","6411","","","","","","","","","","","","","","",""
"","browser-check","2","7427","0.0-2.0","","","1280","720","","","","","","","","","","","","",""
"","html-button-response","3","8128","0.0-3.0","","701","","","You will be shown ???. Please ???.","0","","","","","","","","","","",""
"","preload","4","8155","0.0-4.0","true","","","","","","false","[]","[]","[]","","","","","","",""
"","html-button-response","5","8900","0.0-5.0-0.0","","744","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>CATEGORY A</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>CATEGORY B</button>","0","","","","","","","","","","",""
"","html-button-response","6","10605","0.0-5.0-1.0","","1703","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/catA/b3.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","0","","","","","mouseTrackQuestion","[""CATEGORY A"",""CATEGORY B""]","[""catA"",""catB""]","[{""x"":636,""y"":551,""t"":877,""event"":""mousemove""},{""x"":631,""y"":544,""t"":883,""event"":""mousemove""},{""x"":618,""y"":530,""t"":898,""event"":""mousemove""},{""x"":604,""y"":512,""t"":915,""event"":""mousemove""},{""x"":581,""y"":486,""t"":932,""event"":""mousemove""},{""x"":565,""y"":466,""t"":948,""event"":""mousemove""},{""x"":553,""y"":447,""t"":966,""event"":""mousemove""},{""x"":534,""y"":416,""t"":982,""event"":""mousemove""},{""x"":520,""y"":399,""t"":999,""event"":""mousemove""},{""x"":505,""y"":380,""t"":1015,""event"":""mousemove""},{""x"":496,""y"":368,""t"":1032,""event"":""mousemove""},{""x"":486,""y"":358,""t"":1048,""event"":""mousemove""},{""x"":473,""y"":340,""t"":1065,""event"":""mousemove""},{""x"":466,""y"":330,""t"":1082,""event"":""mousemove""},{""x"":460,""y"":322,""t"":1099,""event"":""mousemove""},{""x"":452,""y"":314,""t"":1115,""event"":""mousemove""},{""x"":448,""y"":309,""t"":1132,""event"":""mousemove""},{""x"":444,""y"":303,""t"":1148,""event"":""mousemove""},{""x"":440,""y"":298,""t"":1165,""event"":""mousemove""},{""x"":436,""y"":293,""t"":1182,""event"":""mousemove""},{""x"":429,""y"":284,""t"":1198,""event"":""mousemove""},{""x"":424,""y"":278,""t"":1215,""event"":""mousemove""},{""x"":420,""y"":266,""t"":1232,""event"":""mousemove""},{""x"":415,""y"":259,""t"":1248,""event"":""mousemove""},{""x"":411,""y"":251,""t"":1265,""event"":""mousemove""},{""x"":403,""y"":239,""t"":1282,""event"":""mousemove""},{""x"":398,""y"":231,""t"":1299,""event"":""mousemove""},{""x"":393,""y"":222,""t"":1315,""event"":""mousemove""},{""x"":388,""y"":214,""t"":1332,""event"":""mousemove""},{""x"":382,""y"":202,""t"":1348,""event"":""mousemove""},{""x"":379,""y"":195,""t"":1365,""event"":""mousemove""},{""x"":376,""y"":190,""t"":1383,""event"":""mousemove""},{""x"":372,""y"":184,""t"":1400,""event"":""mousemove""},{""x"":370,""y"":181,""t"":1415,""event"":""mousemove""},{""x"":366,""y"":174,""t"":1432,""event"":""mousemove""},{""x"":364,""y"":171,""t"":1449,""event"":""mousemove""},{""x"":362,""y"":166,""t"":1466,""event"":""mousemove""},{""x"":359,""y"":163,""t"":1483,""event"":""mousemove""},{""x"":358,""y"":162,""t"":1499,""event"":""mousemove""},{""x"":357,""y"":161,""t"":1515,""event"":""mousemove""},{""x"":356,""y"":160,""t"":1532,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false"
"","html-button-response","7","11419","0.0-5.0-0.1","","812","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>CATEGORY A</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>CATEGORY B</button>","0","","","","","","","","","","",""
"","html-button-response","8","12682","0.0-5.0-1.1","","1261","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/catB/w2.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","0","","","","","mouseTrackQuestion","[""CATEGORY A"",""CATEGORY B""]","[""catA"",""catB""]","[{""x"":652,""y"":543,""t"":685,""event"":""mousemove""},{""x"":640,""y"":524,""t"":698,""event"":""mousemove""},{""x"":608,""y"":464,""t"":715,""event"":""mousemove""},{""x"":594,""y"":442,""t"":731,""event"":""mousemove""},{""x"":566,""y"":399,""t"":748,""event"":""mousemove""},{""x"":550,""y"":378,""t"":765,""event"":""mousemove""},{""x"":534,""y"":354,""t"":781,""event"":""mousemove""},{""x"":511,""y"":318,""t"":798,""event"":""mousemove""},{""x"":501,""y"":298,""t"":815,""event"":""mousemove""},{""x"":484,""y"":266,""t"":831,""event"":""mousemove""},{""x"":472,""y"":249,""t"":848,""event"":""mousemove""},{""x"":461,""y"":234,""t"":865,""event"":""mousemove""},{""x"":446,""y"":214,""t"":881,""event"":""mousemove""},{""x"":438,""y"":204,""t"":898,""event"":""mousemove""},{""x"":428,""y"":191,""t"":915,""event"":""mousemove""},{""x"":422,""y"":184,""t"":932,""event"":""mousemove""},{""x"":419,""y"":180,""t"":948,""event"":""mousemove""},{""x"":414,""y"":176,""t"":965,""event"":""mousemove""},{""x"":410,""y"":171,""t"":981,""event"":""mousemove""},{""x"":406,""y"":166,""t"":998,""event"":""mousemove""},{""x"":402,""y"":163,""t"":1015,""event"":""mousemove""},{""x"":398,""y"":160,""t"":1031,""event"":""mousemove""},{""x"":393,""y"":157,""t"":1048,""event"":""mousemove""},{""x"":390,""y"":155,""t"":1065,""event"":""mousemove""},{""x"":385,""y"":152,""t"":1081,""event"":""mousemove""},{""x"":382,""y"":150,""t"":1098,""event"":""mousemove""},{""x"":382,""y"":148,""t"":1114,""event"":""mousemove""},{""x"":381,""y"":148,""t"":1131,""event"":""mousemove""},{""x"":380,""y"":148,""t"":1148,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false"
"","html-button-response","9","13425","0.0-5.0-0.2","","742","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>CATEGORY A</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>CATEGORY B</button>","0","","","","","","","","","","",""
"","html-button-response","10","14683","0.0-5.0-1.2","","1257","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/catB/w3.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","mouseTrackQuestion","[""CATEGORY A"",""CATEGORY B""]","[""catA"",""catB""]","[{""x"":632,""y"":547,""t"":514,""event"":""mousemove""},{""x"":637,""y"":538,""t"":526,""event"":""mousemove""},{""x"":652,""y"":512,""t"":542,""event"":""mousemove""},{""x"":666,""y"":489,""t"":559,""event"":""mousemove""},{""x"":679,""y"":466,""t"":575,""event"":""mousemove""},{""x"":700,""y"":433,""t"":592,""event"":""mousemove""},{""x"":714,""y"":413,""t"":609,""event"":""mousemove""},{""x"":732,""y"":378,""t"":625,""event"":""mousemove""},{""x"":744,""y"":357,""t"":642,""event"":""mousemove""},{""x"":753,""y"":341,""t"":658,""event"":""mousemove""},{""x"":768,""y"":320,""t"":676,""event"":""mousemove""},{""x"":777,""y"":306,""t"":692,""event"":""mousemove""},{""x"":786,""y"":290,""t"":710,""event"":""mousemove""},{""x"":792,""y"":282,""t"":725,""event"":""mousemove""},{""x"":796,""y"":276,""t"":742,""event"":""mousemove""},{""x"":804,""y"":266,""t"":759,""event"":""mousemove""},{""x"":808,""y"":262,""t"":776,""event"":""mousemove""},{""x"":816,""y"":254,""t"":792,""event"":""mousemove""},{""x"":822,""y"":249,""t"":809,""event"":""mousemove""},{""x"":828,""y"":240,""t"":825,""event"":""mousemove""},{""x"":837,""y"":229,""t"":842,""event"":""mousemove""},{""x"":840,""y"":225,""t"":859,""event"":""mousemove""},{""x"":846,""y"":220,""t"":875,""event"":""mousemove""},{""x"":849,""y"":216,""t"":892,""event"":""mousemove""},{""x"":851,""y"":212,""t"":909,""event"":""mousemove""},{""x"":854,""y"":206,""t"":926,""event"":""mousemove""},{""x"":857,""y"":202,""t"":942,""event"":""mousemove""},{""x"":862,""y"":196,""t"":959,""event"":""mousemove""},{""x"":868,""y"":192,""t"":975,""event"":""mousemove""},{""x"":872,""y"":186,""t"":993,""event"":""mousemove""},{""x"":877,""y"":182,""t"":1009,""event"":""mousemove""},{""x"":878,""y"":179,""t"":1025,""event"":""mousemove""},{""x"":880,""y"":176,""t"":1042,""event"":""mousemove""},{""x"":881,""y"":174,""t"":1059,""event"":""mousemove""},{""x"":882,""y"":172,""t"":1076,""event"":""mousemove""},{""x"":884,""y"":170,""t"":1092,""event"":""mousemove""},{""x"":884,""y"":169,""t"":1124,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false"
"","html-button-response","11","16056","0.0-6.0","","1372","","","You've finished the last task. Click the button to end the study.","0","","","","","","","","","","",""
