"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1119","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","3942","0.0-1.0","2817","{""Q0"":""5c75471e5eb59f000131c7a4""}","","","","",""
"","","","","","survey-multi-choice","2","5578","0.0-2.0","1633","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","11950","0.0-3.0","6369","","","[{""page_index"":0,""viewing_time"":4919},{""page_index"":1,""viewing_time"":1450}]","","",""
"","","","","","instructions","4","13239","0.0-4.0","1289","","","[{""page_index"":0,""viewing_time"":1289}]","","",""
"","","","","","instructions","5","16084","0.0-5.0","2844","","","[{""page_index"":0,""viewing_time"":809},{""page_index"":1,""viewing_time"":1112},{""page_index"":2,""viewing_time"":922}]","","",""
"","","","","","survey-text","6","24790","0.0-6.0","8696","{""Q0"":""silly""}","","","Serious","",""
"","","","","","html-slider-response","7","27947","0.0-7.0","3154","6","","","Serious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>silly</strong> is a good fit for the opposite side of the <strong>Serious</strong> scale?</p></div>","4"
"","","","","","survey-text","8","31309","0.0-8.0","3359","{""Q0"":""lax""}","","","Strict","",""
"","","","","","html-slider-response","9","34032","0.0-9.0","2721","7","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lax</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","10","39123","0.0-10.0","5088","{""Q0"":""hasty""}","","","Thoughtful","",""
"","","","","","html-slider-response","11","43906","0.0-11.0","4781","5","","","Thoughtful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>hasty</strong> is a good fit for the opposite side of the <strong>Thoughtful</strong> scale?</p></div>","4"
"","","","","","survey-text","12","47292","0.0-12.0","3383","{""Q0"":""boring""}","","","Enthusiastic","",""
"","","","","","html-slider-response","13","51078","0.0-13.0","3784","5","","","Enthusiastic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>boring</strong> is a good fit for the opposite side of the <strong>Enthusiastic</strong> scale?</p></div>","4"
"","","","","","survey-text","14","53690","0.0-14.0","2609","{""Q0"":""strict""}","","","Flexible","",""
"","","","","","html-slider-response","15","56047","0.0-15.0","2356","7","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>strict</strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","16","64634","0.0-16.0","8583","{""Q0"":""lazy""}","","","Persistent","",""
"","","","","","html-slider-response","17","67448","0.0-17.0","2812","5","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","18","69982","0.0-18.0","2531","{""Q0"":""stoic""}","","","Sensitive","",""
"","","","","","html-slider-response","19","73385","0.0-19.0","3402","4","","","Sensitive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>stoic</strong> is a good fit for the opposite side of the <strong>Sensitive</strong> scale?</p></div>","4"
"","","","","","survey-text","20","76113","0.0-20.0","2724","{""Q0"":""lazy""}","","","Determined","",""
"","","","","","html-slider-response","21","79388","0.0-21.0","3273","6","","","Determined","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Determined</strong> scale?</p></div>","4"
"","","","","","survey-text","22","84736","0.0-22.0","5345","{""Q0"":""creative""}","","","Traditional","",""
"","","","","","html-slider-response","23","87485","0.0-23.0","2749","5","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>creative</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
"","","","","","survey-text","24","93671","0.0-24.0","6183","{""Q0"":""dominant""}","","","Submissive","",""
"","","","","","html-slider-response","25","95976","0.0-25.0","2303","7","","","Submissive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dominant</strong> is a good fit for the opposite side of the <strong>Submissive</strong> scale?</p></div>","4"
"","","","","","survey-text","26","103827","0.0-26.0","7848","{""Q0"":""lazy""}","","","Conscientious","",""
"","","","","","html-slider-response","27","105868","0.0-27.0","2039","4","","","Conscientious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Conscientious</strong> scale?</p></div>","4"
"","","","","","survey-text","28","109885","0.0-28.0","4015","{""Q0"":""obedient""}","","","Rebellious","",""
"","","","","","html-slider-response","29","113343","0.0-29.0","3457","7","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>obedient</strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","30","117291","0.0-30.0","3944","{""Q0"":""lazy""}","","","Ambitious","",""
"","","","","","html-slider-response","31","119782","0.0-31.0","2490","4","","","Ambitious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Ambitious</strong> scale?</p></div>","4"
"","","","","","survey-text","32","122021","0.0-32.0","2236","{""Q0"":""late""}","","","Punctual","",""
"","","","","","html-slider-response","33","126415","0.0-33.0","4393","7","","","Punctual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>late</strong> is a good fit for the opposite side of the <strong>Punctual</strong> scale?</p></div>","4"
"","","","","","survey-text","34","129821","0.0-34.0","3403","{""Q0"":""easygoing""}","","","Critical","",""
"","","","","","html-slider-response","35","132859","0.0-35.0","3037","5","","","Critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>easygoing</strong> is a good fit for the opposite side of the <strong>Critical</strong> scale?</p></div>","4"
"","","","","","survey-text","36","136050","0.0-36.0","3188","{""Q0"":""ugly""}","","","Beautiful","",""
"","","","","","html-slider-response","37","138493","0.0-37.0","2442","7","","","Beautiful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>ugly</strong> is a good fit for the opposite side of the <strong>Beautiful</strong> scale?</p></div>","4"
"","","","","","survey-text","38","141180","0.0-38.0","2684","{""Q0"":""dumb""}","","","Competent","",""
"","","","","","html-slider-response","39","143864","0.0-39.0","2682","3","","","Competent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dumb</strong> is a good fit for the opposite side of the <strong>Competent</strong> scale?</p></div>","4"
"","","","","","survey-text","40","148781","0.0-40.0","4914","{""Q0"":""normal""}","","","Weird","",""
"","","","","","html-slider-response","41","151141","0.0-41.0","2359","4","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>normal</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","42","153375","0.0-42.0","2231","{""Q0"":""dumb""}","","","Clever","",""
"","","","","","html-slider-response","43","155414","0.0-43.0","2038","5","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dumb</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","44","158116","0.0-44.0","2700","{""Q0"":""scared""}","","","Courageous","",""
"","","","","","html-slider-response","45","160631","0.0-45.0","2514","7","","","Courageous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>scared</strong> is a good fit for the opposite side of the <strong>Courageous</strong> scale?</p></div>","4"
"","","","","","survey-text","46","166748","0.0-46.0","6114","{""Q0"":""unnatural""}","","","Natural","",""
"","","","","","html-slider-response","47","169050","0.0-47.0","2300","7","","","Natural","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unnatural</strong> is a good fit for the opposite side of the <strong>Natural</strong> scale?</p></div>","4"
"","","","","","survey-text","48","183403","0.0-48.0","14351","{""Q0"":""dull""}","","","Energetic","",""
"","","","","","html-slider-response","49","185360","0.0-49.0","1955","4","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dull</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","50","187025","0.0-50.0","1663","{""Q0"":""neat""}","","","Disorderly","",""
"","","","","","html-slider-response","51","189205","0.0-51.0","2179","7","","","Disorderly","<div style=""width:500px;""> <p>How strongly do you feel that <strong>neat</strong> is a good fit for the opposite side of the <strong>Disorderly</strong> scale?</p></div>","4"
"","","","","","survey-text","52","193479","0.0-52.0","4271","{""Q0"":""lying""}","","","Sincere","",""
"","","","","","html-slider-response","53","202278","0.0-53.0","8798","7","","","Sincere","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lying</strong> is a good fit for the opposite side of the <strong>Sincere</strong> scale?</p></div>","4"
"","","","","","survey-text","54","206265","0.0-54.0","3985","{""Q0"":""arrogant""}","","","Self-pitying","",""
"","","","","","html-slider-response","55","209210","0.0-55.0","2942","5","","","Self-pitying","<div style=""width:500px;""> <p>How strongly do you feel that <strong>arrogant</strong> is a good fit for the opposite side of the <strong>Self-pitying</strong> scale?</p></div>","4"
"","","","","","survey-text","56","211986","0.0-56.0","2774","{""Q0"":""arrogant""}","","","Humble","",""
"","","","","","html-slider-response","57","214444","0.0-57.0","2457","7","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>arrogant</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","58","218390","0.0-58.0","3943","{""Q0"":""disinterested""}","","","Curious","",""
"","","","","","html-slider-response","59","220583","0.0-59.0","2193","7","","","Curious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>disinterested</strong> is a good fit for the opposite side of the <strong>Curious</strong> scale?</p></div>","4"
"","","","","","survey-text","60","226832","0.0-60.0","6246","{""Q0"":""plebe""}","","","Intellectual","",""
"","","","","","html-slider-response","61","229547","0.0-61.0","2714","5","","","Intellectual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>plebe</strong> is a good fit for the opposite side of the <strong>Intellectual</strong> scale?</p></div>","4"
"","","","","","survey-text","62","234713","0.0-62.0","5163","{""Q0"":""sad""}","","","Happy","",""
"","","","","","html-slider-response","63","236977","0.0-63.0","2263","7","","","Happy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>sad</strong> is a good fit for the opposite side of the <strong>Happy</strong> scale?</p></div>","4"
"","","","","","survey-text","64","245428","0.0-64.0","8448","{""Q0"":""easygoing""}","","","Intense","",""
"","","","","","html-slider-response","65","249931","0.0-65.0","4502","4","","","Intense","<div style=""width:500px;""> <p>How strongly do you feel that <strong>easygoing</strong> is a good fit for the opposite side of the <strong>Intense</strong> scale?</p></div>","4"
"","","","","","survey-text","66","257773","0.0-66.0","7839","{""Q0"":""strict""}","","","Open-minded","",""
"","","","","","html-slider-response","67","260281","0.0-67.0","2506","3","","","Open-minded","<div style=""width:500px;""> <p>How strongly do you feel that <strong>strict</strong> is a good fit for the opposite side of the <strong>Open-minded</strong> scale?</p></div>","4"
"","","","","","survey-text","68","262373","0.0-68.0","2090","{""Q0"":""nice""}","","","Mean","",""
"","","","","","html-slider-response","69","265467","0.0-69.0","3092","7","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nice</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","70","268078","0.0-70.0","2610","{""Q0"":""strict""}","","","Easygoing","",""
"","","","","","html-slider-response","71","270195","0.0-71.0","2116","6","","","Easygoing","<div style=""width:500px;""> <p>How strongly do you feel that <strong>strict</strong> is a good fit for the opposite side of the <strong>Easygoing</strong> scale?</p></div>","4"
"","","","","","survey-text","72","273464","0.0-72.0","3265","{""Q0"":""observant""}","","","Unobservant","",""
"","","","","","html-slider-response","73","275565","0.0-73.0","2100","7","","","Unobservant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>observant</strong> is a good fit for the opposite side of the <strong>Unobservant</strong> scale?</p></div>","4"
"","","","","","survey-text","74","277306","0.0-74.0","1738","{""Q0"":""old""}","","","Youthful","",""
"","","","","","html-slider-response","75","280101","0.0-75.0","2794","6","","","Youthful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>old</strong> is a good fit for the opposite side of the <strong>Youthful</strong> scale?</p></div>","4"
"","","","","","survey-text","76","285473","0.0-76.0","5368","{""Q0"":""impatient""}","","","Patient","",""
"","","","","","html-slider-response","77","288991","0.0-77.0","3517","7","","","Patient","<div style=""width:500px;""> <p>How strongly do you feel that <strong>impatient</strong> is a good fit for the opposite side of the <strong>Patient</strong> scale?</p></div>","4"
"","","","","","survey-text","78","291580","0.0-78.0","2586","{""Q0"":""stoic""}","","","Emotional","",""
"","","","","","html-slider-response","79","295604","0.0-79.0","4022","6","","","Emotional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>stoic</strong> is a good fit for the opposite side of the <strong>Emotional</strong> scale?</p></div>","4"
"","","","","","survey-text","80","298919","0.0-80.0","3313","{""Q0"":""hasty""}","","","Careful","",""
"","","","","","html-slider-response","81","302207","0.0-81.0","3286","6","","","Careful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>hasty</strong> is a good fit for the opposite side of the <strong>Careful</strong> scale?</p></div>","4"
"","","","","","survey-text","82","305488","0.0-82.0","3277","{""Q0"":""chill""}","","","Combative","",""
"","","","","","html-slider-response","83","308234","0.0-83.0","2745","4","","","Combative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>chill</strong> is a good fit for the opposite side of the <strong>Combative</strong> scale?</p></div>","4"
"","","","","","survey-text","84","310087","0.0-84.0","1850","{""Q0"":""wewak""}","","","Strong","",""
"","","","","","html-slider-response","85","312634","0.0-85.0","2545","7","","","Strong","<div style=""width:500px;""> <p>How strongly do you feel that <strong>wewak</strong> is a good fit for the opposite side of the <strong>Strong</strong> scale?</p></div>","4"
"","","","","","survey-text","86","318425","0.0-86.0","5788","{""Q0"":""risque""}","","","Prudish","",""
"","","","","","html-slider-response","87","320708","0.0-87.0","2281","6","","","Prudish","<div style=""width:500px;""> <p>How strongly do you feel that <strong>risque</strong> is a good fit for the opposite side of the <strong>Prudish</strong> scale?</p></div>","4"
"","","","","","survey-text","88","325257","0.0-88.0","4547","{""Q0"":""codependent""}","","","Independent","",""
